comm, ce, te, cp, comm, nodes, edges, stops_as_trajectories, stops_as_users, pois, poi_types, avg_distance, moves_as_trajectories, moves_as_users, avg_stop_time, avg_move_time
74, 1, 1, 1.00000000000000000000, 74, 2, 1, 225, 149, 10, 5, 7.87080350762414, 1, 1, 4.63159383682883406420, 1.77000111109681
75, 1, 1, 1.00000000000000000000, 75, 2, 1, 135, 97, 12, 6, 3.38392814135016, 1, 1, 5.45412157594956221391, 0.518611388868756
76, 9, 18, 0.50000000000000000000, 76, 9, 9, 620, 386, 41, 10, 9.60464421366106, 3, 2, 5.82867806911677998028, 1.13138953705629
77, 2, 2, 1.00000000000000000000, 77, 2, 2, 187, 143, 8, 5, 3.68954258320737, 1, 1, 6.82301738240136574705, 1.08305624998278
78, 3, 5, 0.60000000000000000000, 78, 4, 3, 334, 258, 12, 7, 4.09022512789351, 3, 3, 6.62935811845621132519, 0.26518574072255
79, 1, 3, 0.33333333333333333333, 79, 2, 1, 211, 144, 6, 5, 7.42584063983861, 1, 1, 6.72785427892693667228, 1.3255558333132
8, 2, 2, 1.00000000000000000000, 8, 3, 2, 260, 167, 18, 7, 5.13129205774143, 1, 1, 7.34909677753163836289, 0.356666944424311
80, 1, 4, 0.25000000000000000000, 80, 2, 1, 121, 82, 6, 5, 6.74744144305272, 1, 1, 6.08517063363728150435, 0.679444999959734
81, 1, 1, 1.00000000000000000000, 81, 2, 1, 197, 156, 11, 7, 0.768108487106573, 1, 1, 5.25784509820844449077, 3.05694555554125
82, 2, 6, 0.33333333333333333333, 82, 2, 2, 225, 162, 11, 6, 10.3008399883675, 1, 1, 6.24060162450954559324, 2.63486152778069
83, 1, 1, 1.00000000000000000000, 83, 2, 1, 156, 122, 6, 4, 4.55946888405493, 1, 1, 7.49027457363901184137, 3.24888972222805
84, 1, 1, 1.00000000000000000000, 84, 2, 1, 155, 117, 12, 7, 6.82038677337043, 1, 1, 6.84816904045098780777, 0.651666944424311
85, 1, 2, 0.50000000000000000000, 85, 2, 1, 166, 146, 6, 2, 1.69391073380227, 1, 1, 4.80772715249340249339, 3.0319469443957
86, 15, 35, 0.42857142857142857143, 86, 13, 15, 1036, 734, 49, 10, 2.6905993290841, 25, 25, 5.79710842446327822321, 0.855026548913853
87, 1, 2, 0.50000000000000000000, 87, 2, 1, 227, 180, 11, 6, 3.31787808719056, 1, 1, 5.72851445832305955387, 1.73555611107084
88, 1, 1, 1.00000000000000000000, 88, 2, 1, 137, 119, 6, 5, 0.733960186255172, 1, 1, 5.30378126581076249285, 0.893889444404178
89, 1, 8, 0.12500000000000000000, 89, 2, 1, 211, 153, 9, 3, 6.74540008465336, 1, 1, 4.35215076599326599267, 0.623333611157205
9, 1, 1, 1.00000000000000000000, 9, 2, 1, 146, 116, 7, 5, 0.965766773575701, 1, 1, 6.30505191711886626521, 0.233889166646534
90, 1, 1, 1.00000000000000000000, 90, 2, 1, 153, 96, 7, 5, 1.88128914506858, 1, 1, 8.32833445425903161613, 2.25027888887458
91, 2, 2, 1.00000000000000000000, 91, 3, 2, 182, 146, 11, 9, 5.05993709786932, 2, 2, 5.68625939699735744322, 0.624722500012981
92, 4, 7, 0.57142857142857142857, 92, 3, 4, 233, 143, 13, 6, 6.01357804331972, 1, 1, 6.69181833282420825683, 0.370972638883524
93, 3, 3, 1.00000000000000000000, 93, 4, 3, 316, 211, 14, 7, 8.33366343439662, 1, 1, 6.33645985313570855937, 2.13027861105071
94, 2, 3, 0.66666666666666666667, 94, 2, 2, 269, 202, 15, 7, 4.08832520939295, 2, 2, 4.90583961297068714821, 0.654584027760559
95, 1, 2, 0.50000000000000000000, 95, 2, 1, 188, 169, 6, 4, 1.78089642195372, 1, 1, 4.46587692011729674569, 3.0319469443957
96, 1, 1, 1.00000000000000000000, 96, 2, 1, 123, 103, 11, 7, 7.77332830654771, 1, 1, 4.20183923473473473286, 1.35750055558152
97, 3, 9, 0.33333333333333333333, 97, 4, 3, 242, 190, 21, 8, 9.60194344052599, 4, 2, 3.05909573452964754594, 1.880471126577
98, 2, 3, 0.66666666666666666667, 98, 2, 2, 247, 163, 12, 6, 0.292555374420425, 18, 16, 8.68459510877215420042, 0.69791032176658
99, 1, 1, 1.00000000000000000000, 99, 2, 1, 196, 145, 11, 7, 3.26697632336181, 1, 1, 4.32948530194708348426, 2.7775764465332e-07
