id, inweight_as_trajectories, outweight_as_trajectories, id, inweight_as_trajectories, outweight_as_trajectories
65, 13, 9, 95, 60, 68
65, 13, 9, 110, 16, 11
32, 21, 23, 43, 32, 29
32, 21, 23, 5, 38, 40
32, 21, 23, 73, 13, 12
32, 21, 23, 22, 19, 14
32, 21, 23, 104, 16, 16
32, 21, 23, 87, 16, 19
32, 21, 23, 125, 33, 35
32, 21, 23, 120, 9, 8
32, 21, 23, 122, 23, 22
32, 21, 23, 106, 25, 16
149, 6, 5, 102, 37, 39
149, 6, 5, 49, 32, 33
149, 6, 5, 57, 23, 15
73, 13, 12, 8, 7, 19
73, 13, 12, 128, 25, 20
73, 13, 12, 32, 21, 23
73, 13, 12, 87, 16, 19
73, 13, 12, 95, 60, 68
73, 13, 12, 98, 25, 27
73, 13, 12, 0, 22, 13
73, 13, 12, 122, 23, 22
73, 13, 12, 96, 13, 10
22, 19, 14, 129, 42, 38
22, 19, 14, 43, 32, 29
22, 19, 14, 32, 21, 23
22, 19, 14, 87, 16, 19
22, 19, 14, 81, 7, 3
22, 19, 14, 58, 10, 4
22, 19, 14, 12, 13, 16
22, 19, 14, 3, 14, 15
22, 19, 14, 118, 5, 4
22, 19, 14, 96, 13, 10
22, 19, 14, 106, 25, 16
22, 19, 14, 88, 104, 102
22, 19, 14, 148, 38, 28
20, 4, 9, 28, 11, 8
20, 4, 9, 43, 32, 29
20, 4, 9, 42, 9, 8
20, 4, 9, 46, 6, 6
20, 4, 9, 12, 13, 16
20, 4, 9, 3, 14, 15
20, 4, 9, 130, 37, 41
20, 4, 9, 106, 25, 16
70, 81, 94, 113, 97, 102
70, 81, 94, 129, 42, 38
70, 81, 94, 43, 32, 29
70, 81, 94, 47, 25, 17
70, 81, 94, 142, 56, 44
70, 81, 94, 150, 49, 44
70, 81, 94, 27, 87, 85
70, 81, 94, 58, 10, 4
70, 81, 94, 50, 33, 27
70, 81, 94, 111, 56, 62
70, 81, 94, 95, 60, 68
70, 81, 94, 33, 28, 25
70, 81, 94, 59, 94, 101
70, 81, 94, 19, 111, 134
70, 81, 94, 0, 22, 13
70, 81, 94, 137, 54, 63
70, 81, 94, 57, 23, 15
70, 81, 94, 88, 104, 102
70, 81, 94, 74, 75, 78
70, 81, 94, 148, 38, 28
114, 17, 22, 5, 38, 40
114, 17, 22, 149, 6, 5
114, 17, 22, 102, 37, 39
114, 17, 22, 49, 32, 33
16, 9, 7, 25, 13, 18
16, 9, 7, 128, 25, 20
16, 9, 7, 73, 13, 12
16, 9, 7, 46, 6, 6
16, 9, 7, 58, 10, 4
16, 9, 7, 98, 25, 27
104, 16, 16, 79, 5, 4
104, 16, 16, 43, 32, 29
104, 16, 16, 22, 19, 14
104, 16, 16, 87, 16, 19
104, 16, 16, 46, 6, 6
104, 16, 16, 3, 14, 15
104, 16, 16, 41, 2, 8
104, 16, 16, 133, 3, 5
104, 16, 16, 147, 12, 19
104, 16, 16, 1, 15, 13
87, 16, 19, 129, 42, 38
87, 16, 19, 107, 15, 15
87, 16, 19, 43, 32, 29
87, 16, 19, 5, 38, 40
87, 16, 19, 32, 21, 23
87, 16, 19, 22, 19, 14
87, 16, 19, 104, 16, 16
87, 16, 19, 125, 33, 35
87, 16, 19, 12, 13, 16
87, 16, 19, 130, 37, 41
87, 16, 19, 122, 23, 22
87, 16, 19, 106, 25, 16
142, 56, 44, 135, 17, 11
142, 56, 44, 113, 97, 102
142, 56, 44, 47, 25, 17
142, 56, 44, 70, 81, 94
142, 56, 44, 150, 49, 44
142, 56, 44, 27, 87, 85
142, 56, 44, 58, 10, 4
142, 56, 44, 50, 33, 27
142, 56, 44, 111, 56, 62
142, 56, 44, 95, 60, 68
142, 56, 44, 59, 94, 101
142, 56, 44, 19, 111, 134
142, 56, 44, 57, 23, 15
142, 56, 44, 88, 104, 102
142, 56, 44, 74, 75, 78
142, 56, 44, 148, 38, 28
81, 7, 3, 8, 7, 19
81, 7, 3, 42, 9, 8
81, 7, 3, 41, 2, 8
10, 2, 2, 45, 3, 3
150, 49, 44, 135, 17, 11
150, 49, 44, 113, 97, 102
150, 49, 44, 70, 81, 94
150, 49, 44, 142, 56, 44
150, 49, 44, 27, 87, 85
150, 49, 44, 58, 10, 4
150, 49, 44, 50, 33, 27
150, 49, 44, 111, 56, 62
150, 49, 44, 95, 60, 68
150, 49, 44, 59, 94, 101
150, 49, 44, 19, 111, 134
150, 49, 44, 137, 54, 63
150, 49, 44, 88, 104, 102
150, 49, 44, 74, 75, 78
150, 49, 44, 148, 38, 28
27, 87, 85, 135, 17, 11
27, 87, 85, 8, 7, 19
27, 87, 85, 113, 97, 102
27, 87, 85, 70, 81, 94
27, 87, 85, 142, 56, 44
27, 87, 85, 150, 49, 44
27, 87, 85, 50, 33, 27
27, 87, 85, 111, 56, 62
27, 87, 85, 95, 60, 68
27, 87, 85, 33, 28, 25
27, 87, 85, 59, 94, 101
27, 87, 85, 19, 111, 134
27, 87, 85, 137, 54, 63
27, 87, 85, 57, 23, 15
27, 87, 85, 88, 104, 102
27, 87, 85, 74, 75, 78
92, 23, 12, 55, 15, 9
92, 23, 12, 5, 38, 40
92, 23, 12, 104, 16, 16
92, 23, 12, 87, 16, 19
92, 23, 12, 95, 60, 68
92, 23, 12, 0, 22, 13
42, 9, 8, 128, 25, 20
42, 9, 8, 55, 15, 9
42, 9, 8, 5, 38, 40
42, 9, 8, 65, 13, 9
42, 9, 8, 149, 6, 5
42, 9, 8, 125, 33, 35
42, 9, 8, 130, 37, 41
42, 9, 8, 110, 16, 11
77, 2, 3, 87, 16, 19
77, 2, 3, 12, 13, 16
77, 2, 3, 106, 25, 16
18, 11, 21, 151, 1, 0.0
18, 11, 21, 66, 10, 13
18, 11, 21, 93, 3, 3
