source, target, st_distance, weight, users
28, 128, 621.348412964877, 1, 1
28, 106, 4692.61318984158, 1, 1
28, 147, 4444.55096111939, 1, 1
28, 43, 4538.03315762511, 1, 1
28, 1, 357.531064304387, 3, 2
28, 98, 561.797132621667, 1, 1
122, 87, 499.391635681872, 1, 1
122, 22, 2070.26682016116, 2, 2
122, 5, 606.820740758573, 2, 2
122, 106, 182.956355024067, 5, 4
122, 125, 604.670127500238, 2, 2
122, 33, 8171.24069324092, 1, 1
122, 32, 108.025150313586, 7, 5
122, 43, 259.222036764955, 1, 1
122, 130, 508.497837372762, 1, 1
122, 104, 3978.50013952977, 1, 1
122, 73, 4006.84309035415, 1, 1
122, 20, 1487.76861494595, 1, 1
128, 81, 434.44944982169, 2, 2
128, 87, 4022.6085354565, 1, 1
128, 9, 965.766773575701, 1, 1
128, 22, 3223.79025241044, 1, 1
128, 5, 3689.54258320736, 2, 2
128, 16, 4316.16143394998, 1, 1
128, 59, 10928.1306032217, 1, 1
128, 112, 8006.96328680564, 1, 1
128, 96, 2139.12098644066, 1, 1
128, 104, 2103.72650155211, 1, 1
128, 73, 3888.44209607846, 1, 1
128, 42, 2857.74928071877, 1, 1
128, 92, 1550.12270126057, 1, 1
128, 98, 94.5901234253837, 11, 11
106, 87, 603.402860388481, 2, 2
106, 22, 2128.47803000415, 2, 2
106, 122, 182.956355024067, 4, 3
106, 128, 4184.50297098292, 1, 1
106, 125, 541.095273139207, 1, 1
106, 33, 8348.98404325715, 1, 1
106, 32, 216.526295647005, 2, 2
106, 43, 189.759084568872, 4, 4
106, 130, 469.161610891839, 1, 1
106, 20, 1437.85965065252, 1, 1
106, 98, 4193.76665872981, 1, 1
16, 81, 4156.8444776302, 1, 1
16, 58, 3862.87133923757, 1, 1
16, 25, 655.402716852413, 1, 1
16, 5, 3509.95883910328, 1, 1
16, 128, 4316.16143394998, 1, 1
16, 46, 5991.03618186989, 1, 1
16, 43, 3822.02356852888, 1, 1
16, 73, 554.746687324046, 1, 1
16, 98, 4398.94422132213, 2, 2
59, 95, 1129.18894432586, 1, 1
59, 70, 187.52759041906, 18, 14
59, 129, 1819.61317945708, 2, 2
59, 74, 296.05416062508, 12, 11
59, 58, 3758.97654589026, 1, 1
59, 150, 548.627161598012, 3, 3
59, 27, 462.653007118979, 6, 6
59, 88, 423.495709227444, 9, 9
59, 47, 2012.76576868975, 1, 1
59, 113, 394.641456209766, 10, 10
59, 111, 474.798708511054, 3, 3
59, 33, 1761.78909708408, 2, 2
59, 112, 5101.89049563801, 1, 1
59, 137, 269.226367351864, 6, 6
59, 43, 7387.36222956666, 1, 1
59, 135, 390.031827596475, 3, 3
59, 142, 679.897088214803, 4, 3
59, 50, 954.585388200901, 1, 1
59, 19, 164.618675238038, 32, 29
47, 77, 12172.4547850779, 1, 1
47, 95, 1545.76536092447, 4, 4
47, 129, 193.469570796348, 12, 10
47, 150, 1686.75772113692, 1, 1
47, 148, 1374.72143661686, 2, 2
47, 135, 1945.38982749803, 1, 1
47, 142, 1634.30702662706, 1, 1
47, 50, 1664.44784475627, 1, 1
47, 42, 8175.58704458096, 1, 1
48, 78, 841.460055957644, 2, 2
48, 25, 216.522246199482, 6, 6
48, 16, 869.223770937732, 1, 1
48, 59, 7975.34102581848, 2, 1
48, 0, 1781.14270200864, 1, 1
48, 55, 1875.17832795562, 1, 1
48, 92, 1951.14059566662, 1, 1
110, 95, 10300.8399883675, 1, 1
110, 81, 1267.52136996693, 1, 1
110, 65, 107.639792034127, 8, 8
110, 123, 3591.45342037696, 1, 1
110, 3, 4121.4396813587, 1, 1
110, 107, 3870.17336836743, 1, 1
110, 92, 1749.34861373258, 1, 1
113, 102, 12267.4848836714, 1, 1
113, 120, 12323.2638102849, 1, 1
113, 95, 1421.18221515776, 2, 2
113, 57, 2371.66053637358, 4, 2
113, 70, 555.462966852891, 3, 3
113, 127, 694.437094007189, 1, 1
113, 74, 690.481918690447, 2, 2
113, 150, 870.81542978817, 4, 4
113, 27, 99.6369968358909, 23, 18
113, 8, 9655.29360993868, 1, 1
113, 88, 135.803154160623, 25, 20
113, 59, 394.641456209766, 9, 9
