id,label,avg_time,indegree,outdegree,degree,clustering,triangles,pageranks,eccentricity,closnesscentrality,betweenesscentrality,authority,hub,componentnumber,strongcompnum
78,cluster_78,0.80439532520325203130,2,5,7,0.214285714285714,9,0.00422920440261434,4,0.385869565217391,0.00291978979757009,0.0049261083,0.0050675673,0,5
58,cluster_58,1.06328866554997208141,6,4,10,0.422222222222222,38,0.00935260111291824,6,0.321266968325792,0.0158221182943314,0.011494253,0.011824325,0,5
27,cluster_27,1.21908221166534705759,12,14,26,0.714285714285714,130,0.0167038064273624,5,0.364102564102564,0.00202042433185828,0.02134647,0.02195946,0,5
125,cluster_125,1.11711270410195141573,10,13,23,0.227941176470588,62,0.0178645015192612,4,0.432926829268293,0.0404389183594636,0.018062398,0.018581081,0,5
88,cluster_88,1.21844444444444444485,14,16,30,0.568627450980392,174,0.0198308875093815,5,0.375661375661376,0.00827490341967541,0.024630541,0.025337838,0,5
70,cluster_70,1.39312134502923976540,16,13,29,0.503267973856209,154,0.0218391738923648,5,0.396648044692737,0.0181785022354772,0.027914613,0.028716216,0,5
9,cluster_9,1.02004106280193236560,3,5,8,0.261904761904762,11,0.00638143002060622,5,0.348039215686274,0.00670496013453172,0.0065681445,0.006756757,0,5
32,cluster_32,0.92523592085235920761,7,9,16,0.345454545454545,38,0.013213682130066,4,0.410404624277457,0.0140919397690805,0.013136289,0.013513514,0,5
59,cluster_59,1.06162171331636980472,15,17,32,0.473684210526316,180,0.0197502339717112,5,0.405714285714286,0.028647059933894,0.026272578,0.027027028,0,5
81,cluster_81,0.99078343313373253453,8,3,11,0.194444444444444,14,0.0204301634701364,4,0.367875647668394,0.0232444101259594,0.014778325,0.015202703,0,5
98,cluster_98,1.07540456833139759640,11,12,23,0.152380952380952,64,0.0155474956674724,5,0.403409090909091,0.0445175479010736,0.019704433,0.02027027,0,5
148,cluster_148,1.58335165895061728630,6,7,13,0.333333333333333,30,0.0136886549723162,5,0.412790697674419,0.0248757358537966,0.011494253,0.011824325,0,5
111,cluster_111,1.42153796653796653852,13,14,27,0.680952380952381,143,0.0188885686445345,5,0.358585858585859,0.00474741197382048,0.022988506,0.02364865,0,5
1,cluster_1,0.95977623456790123210,5,4,9,0.214285714285714,9,0.0114086518543051,5,0.304721030042918,0.0130026869352579,0.009852217,0.010135135,0,5
48,cluster_48,1.18260563380281690595,4,6,10,0.291666666666667,21,0.0065198775045319,4,0.401129943502825,0.00922481443237281,0.00821018,0.008445946,0,5
102,cluster_102,0.93371879588839941175,4,9,13,0.244444444444444,22,0.00699807673049612,5,0.367875647668394,0.0151189189551566,0.00821018,0.008445946,0,5
92,cluster_92,0.86302522349936142918,12,8,20,0.173202614379085,53,0.018266196512737,4,0.408045977011494,0.0600025397064255,0.02134647,0.02195946,0,5
130,cluster_130,1.17122349448685326718,10,11,21,0.25,68,0.0175262841879758,4,0.422619047619048,0.0268622375841716,0.018062398,0.018581081,0,5
5,cluster_5,1.32655317769130998742,6,12,18,0.19047619047619,40,0.0116162686665798,4,0.43030303030303,0.040147945727994,0.011494253,0.011824325,0,5
113,cluster_113,1.18168975468975469094,11,13,24,0.782051282051282,122,0.0152717276712322,5,0.360406091370558,0.00112243661516089,0.019704433,0.02027027,0,5
20,cluster_20,1.33449888330541596343,1,3,4,0.0833333333333333,1,0.00433079376149336,4,0.367875647668394,0.00287925234010834,0.0032840723,0.0033783785,0,5
25,cluster_25,1.02221447305674773517,8,11,19,0.191666666666667,46,0.0128349373062917,4,0.438271604938272,0.0333447950583629,0.014778325,0.015202703,0,5
118,cluster_118,1.31114964675658317354,6,3,9,0.152777777777778,11,0.0138909102170334,5,0.353233830845771,0.0160118402605741,0.011494253,0.011824325,0,5
12,cluster_12,1.12522899728997290184,6,10,16,0.120879120879121,22,0.013085978268181,4,0.440993788819876,0.0512290065249109,0.011494253,0.011824325,0,5
65,cluster_65,1.06955197132616487599,6,4,10,0.180555555555556,13,0.0168710160507391,4,0.351485148514851,0.0268267046138284,0.011494253,0.011824325,0,5
47,cluster_47,1.16918786256135653764,6,4,10,0.476190476190476,20,0.0105223429360036,4,0.373684210526316,0.00959320214090498,0.011494253,0.011824325,0,5
22,cluster_22,1.05127553562531141191,13,7,20,0.169934640522876,52,0.0213239162550119,4,0.410404624277457,0.0479327809777811,0.022988506,0.02364865,0,5
135,cluster_135,1.55634067952249770983,7,8,15,0.777777777777778,70,0.0111154047473422,6,0.324200913242009,0.00055027036091224,0.013136289,0.013513514,0,5
66,cluster_66,1.17241780045351474055,2,2,4,0.166666666666667,1,0.00531819875728498,6,0.266187050359712,0.0127463545226703,0.0049261083,0.0050675673,0,8
133,cluster_133,0.98104000000000000036,1,1,2,0,0,0.00601482286803855,6,0.275193798449612,0.00236081843651905,0.0032840723,0.0033783785,0,5
107,cluster_107,1.09740191462649089721,5,8,13,0.1,11,0.0186658148175852,5,0.371727748691099,0.0404724134828489,0.009852217,0.010135135,0,5
142,cluster_142,1.44687842551071250722,12,10,22,0.606617647058823,165,0.0164437895239461,5,0.371727748691099,0.00667774838457829,0.02134647,0.02195946,0,5
95,cluster_95,1.33086937155814706827,18,19,37,0.359683794466403,182,0.0326543362421316,4,0.455128205128205,0.113911654479253,0.031198686,0.032094594,0,5
19,cluster_19,1.32915846526886321341,16,14,30,0.540441176470588,147,0.0223761824003032,5,0.398876404494382,0.0401851431128272,0.027914613,0.028716216,0,5
33,cluster_33,1.50377401129943502682,11,8,19,0.450549450549451,82,0.0151827824759525,5,0.381720430107527,0.0366547085760686,0.019704433,0.02027027,0,5
151,cluster_151,1.59587479270315091526,1,1,2,1,2,0.00287467268626739,7,0.211428571428571,0,0.0032840723,0.0033783785,0,8
120,cluster_120,1.05871775793650793958,4,3,7,0.1,3,0.0104479728457091,5,0.308695652173913,0.00846915881820992,0.00821018,0.008445946,0,5
128,cluster_128,1.20032245532245532261,7,7,14,0.196969696969697,26,0.0093002859263007,5,0.371727748691099,0.0133731078766937,0.013136289,0.013513514,0,5
114,cluster_114,0.93148953301127214002,2,4,6,0.666666666666667,8,0.00395610317246826,6,0.321266968325792,0,0.0049261083,0.0050675673,0,5
50,cluster_50,1.26738333333333333200,9,8,17,0.472727272727273,52,0.0136335963836039,5,0.385869565217391,0.0120749020810234,0.01642036,0.016891891,0,5
122,cluster_122,1.00877147766323024364,6,8,14,0.436363636363636,48,0.0131693697605953,4,0.401129943502825,0.00718351650828811,0.011494253,0.011824325,0,5
147,cluster_147,1.06306255835667600476,3,9,12,0.281818181818182,31,0.0107341354213023,4,0.403409090909091,0.0237810516235067,0.0065681445,0.006756757,0,5
