comm,nodes,edges,stops_as_trajectories,stops_as_users,pois,poi_types,avg_distance,moves_as_trajectories,moves_as_users,avg_stop_time,avg_move_time,comm,ce,te,cp
40,2,1,139,111,9,4,3.77118208964845,1,1,1.08347694297632788660,0.258056111070845,40,1,1,1.00000000000000000000
41,2,1,90,66,7,5,2.03707043970713,1,1,1.16842564373897707079,0.334166944424311,41,1,1,1.00000000000000000000
42,2,1,122,91,6,4,4.44523555433284,1,1,1.06317561195332404309,0.393889444404178,42,1,1,1.00000000000000000000
43,2,1,43,34,6,3,4.41634423190483,1,1,1.12750163635110927228,0.647500555581517,43,1,1,1.00000000000000000000
44,2,1,91,68,8,6,0.362767415964263,1,1,1.15438014101057579364,2.77823872036404e-07,44,1,1,1.00000000000000000000
45,4,4,282,157,17,9,5.99619419371549,4,2,1.32670834028301764710,0.96083371527493,45,4,5,0.80000000000000000000
46,2,1,143,91,12,6,10.1986975960237,1,1,1.32100950915736512091,1.25138944447041,46,1,1,1.00000000000000000000
47,4,3,278,184,22,8,9.66443646437846,1,1,1.24054560378136319740,1.61722305556138,47,3,7,0.42857142857142857143
48,4,3,188,150,16,9,2.95827300235735,2,2,1.04697140965309565938,3.2398156481319,48,3,5,0.60000000000000000000
49,4,3,184,153,15,6,3.72336452116673,2,2,1.17257348615287806668,1.13990833335453,49,3,8,0.37500000000000000000
5,8,15,337,283,31,11,2.31876368380661,6,6,1.13119418191486635988,2.3755007407312,5,15,24,0.62500000000000000000
50,3,2,191,150,12,4,2.94297148894551,2,2,1.16880944280161788390,4.13888986110687,50,2,2,1.00000000000000000000
51,2,2,88,67,9,6,0.357531064304388,2,2,1.12424772689356022689,0.152639305525356,51,2,5,0.40000000000000000000
52,2,1,155,120,10,5,3.24552856102991,1,1,1.08437446630017355410,0.207778055535422,52,1,1,1.00000000000000000000
53,2,1,141,96,9,5,6.93909665666933,1,1,1.05915331642062271178,0.679444999959734,53,1,4,0.25000000000000000000
54,2,1,108,89,8,6,2.47403341900409,1,1,0.94153314315064689739,0.711945000025961,54,1,1,1.00000000000000000000
55,2,1,175,127,11,6,8.16882466891837,1,1,1.26299424217809138100,7.50416861110263,55,1,1,1.00000000000000000000
56,5,5,203,154,22,9,1.7216819465186,4,4,1.31511849033243414926,0.235722611109416,56,5,6,0.83333333333333333333
57,2,1,119,99,11,8,1.38200494230988,1,1,1.20331590757829223460,6.05027916663223,57,1,1,1.00000000000000000000
58,2,2,175,141,11,6,1.8289574667748,2,2,1.07024778723616089274,4.21694555554125,58,2,2,1.00000000000000000000
59,2,1,170,119,10,5,6.06669398018006,1,1,1.21240937386531152269,0.280833888848623,59,1,2,0.50000000000000000000
6,4,5,263,202,19,9,1.34337288460356,7,5,0.97163354667656574350,0.846194981484501,6,5,6,0.83333333333333333333
60,10,12,616,469,40,11,2.13483266754975,9,9,1.00693144496282514108,2.7771070601598,60,12,21,0.57142857142857142857
61,2,1,194,141,11,6,7.47469813086372,1,1,1.08236599208537984031,0.540000277757645,61,1,1,1.00000000000000000000
62,2,1,138,116,8,5,3.68954258320736,1,1,1.26343781650688265502,1.87388944447041,62,1,1,1.00000000000000000000
63,2,1,99,72,7,3,3.35828804855495,1,1,1.44241953262786595856,0.495833888848623,63,1,1,1.00000000000000000000
64,2,1,153,125,9,6,3.87017336836743,1,1,1.06328429064657878226,2.82166750000583,64,1,1,1.00000000000000000000
65,4,3,201,159,21,8,2.87453890325083,3,3,1.33672500501443550187,4.63296425923153,65,3,8,0.37500000000000000000
66,2,1,109,90,8,5,2.16080523655392,1,1,0.99408236815503075477,0.278056111070845,66,1,1,1.00000000000000000000
67,2,1,139,96,10,4,6.84890616214066,1,1,1.02902090230360714503,0.679444999959734,67,1,4,0.25000000000000000000
68,2,1,112,88,6,5,2.46132075493211,1,1,1.28108370217745217514,1.34027833329307,68,1,3,0.33333333333333333333
69,2,1,143,97,6,4,11.5683406607428,1,1,1.24727872221658378068,0.854723055561384,69,1,1,1.00000000000000000000
7,2,1,111,91,6,5,1.72642756262859,1,1,1.05709682187730968185,0.135833611090978,7,1,1,1.00000000000000000000
70,2,1,127,112,10,6,3.14088057604586,1,1,1.14678907633996621962,0.74833388891485,70,1,5,0.20000000000000000000
